Municipio,Provincia,Habitantes(2022),CarrilBici,DistanciaaMadrid(km),TiempomediodeviajeaMadridencoche,TiempomediodeviajeaMadridentrenoautobús,DistanciaaBarcelona(km),TiempomediodeviajeaBarcelonaencoche,TiempomediodeviajeaBarcelonaentrenoautobús,AeropuertoInternacionalmáscercano,Númerodeconexionesdelaeropuertointernacionalmáscercano,Distanciaalaeropuertointernacionalmáscercano(km),Temperaturamáximamedia(ºC),Temperaturamínimamedia(ºC),PatrimoniodelaHumanidad,%díascalidaddelaireBuena,%díascalidaddelaireRazonablementeBuena,%díascalidaddelaireRegular,%díascalidaddelaireDesfavorable,%díascalidaddelaireMuyDesfavorable,%díascalidaddelaireExtremadamenteDesfavorable,Ponderacióncalidaddelaire,HorasdeSolmediasanuales,IDComunidadAutonoma
Logroño,La Rioja,150020,9.7,334,03:51:00,03:52:00,473,04:33:00,07:35:00,Vitoria,3,98.0,30,2,No,38,58,3,3,0,0,433,2708.0,17
Lorca,Murcia,97151,30.0,467,04:23:00,08:05:00,645,06:22:00,11:25:00,Región de Murcia,15,68.0,32,2,No,12,63,16,8,0,0,376,3348.0,16
Lugo,Lugo,97211,14.4,500,04:52:00,04:53:00,991,09:52:00,14:00:00,A Coruña,9,102.0,27,2,Sí,28,62,5,N/D,0,0,411,2817.45,13
Madrid,Madrid,3280782,8.3,0,00:00:00,,623,06:07:00,02:30:00,"Adolfo Suárez 
Madrid-Barajas",174,15.6,33,0,Sí,15,66,5,5,3,1,377,2691.0,9
Málaga,Málaga,579076,7.8,535,05:13:00,02:44:00,1002,10:04:00,11:32:00,Málaga-Costa del Sol,137,9.8,31,7,No,15,66,11,3,0,0,390,3248.0,1
Manresa,Barcelona,77452,0.0,576,05:33:00,04:11:00,58,01:00:00,01:23:00,"Josep Tarradellas
Barcelona-El Prat",170,64.6,31,1,No,94,6,0,0,0,0,494,2453.0,8
Marbella,Málaga,150725,6.7,584,05:41:00,03:59:00,1051,10:22:00,13:00:00,Málaga-Costa del Sol,137,52.2,29,9,No,35,62,3,1,0,0,432,3248.0,1
Mataró,Barcelona,128956,11.6,651,06:30:00,03:25:00,31,00:36:00,00:44:00,"Josep Tarradellas
Barcelona-El Prat",170,46.9,29,4,No,21,71,7,8,0,0,410,2453.0,8
Melilla,Melilla,85170,0.0,665,11:31:00,15:00:00,1084,16:00:00,18:00:00,Málaga-Costa del Sol,137,284.0,30,10,No,5,76,15,4,0,0,382,2817.45,19
Móstoles,Madrid,208761,0.0,22,00:28:00,00:40:00,639,06:10:00,03:17:00,"Adolfo Suárez 
Madrid-Barajas",174,35.1,33,0,No,20,69,7,10,0,0,403,2691.0,9
Murcia,Murcia,462979,19.6,405,03:44:00,03:38:00,583,05:41:00,09:45:00,Región de Murcia,15,27.1,33,4,Sí,10,69,13,9,0,0,381,3348.0,16
Orihuela,Alicante,80784,0.0,428,04:04:00,04:17:00,561,05:35:00,10:05:00,"Alacant-Elx 
Miguel Hernández",119,50.0,32,5,No,55,44,2,0,0,0,457,3397.0,11
Ourense,Ourense,103756,0.0,499,04:42:00,02:45:00,1053,10:18:00,11:46:00,Vigo,8,89.0,29,5,No,30,63,4,0,0,0,420,2800.0,13
Oviedo,Asturias,215167,0.0,448,04:17:00,05:25:00,886,08:40:00,12:00:00,Asturias,24,46.7,23,5,Sí,14,66,9,0,0,0,383,1962.0,15
Palencia,Palencia,76302,21.6,260,02:39:00,01:27:00,688,06:40:00,04:41:00,Valladolid,6,58.4,29,0,No,22,70,6,4,0,0,412,2817.45,7
Palma,Illes Balears,415940,27.6,704,12:30:00,21:00:00,276,08:27:00,07:56:00,Palma de Mallorca,125,9.3,31,5,No,9,61,14,N/D,1,0,360,3098.0,3
Pamplona,Navarra,203418,33.0,396,04:10:00,03:43:00,480,04:40:00,04:20:00,Vitoria,3,102.0,28,0,No,27,69,4,3,0,0,425,2285.0,10
Pontevedra,Pontevedra,82828,6.5,614,05:53:00,04:34:00,1167,11:30:00,13:00:00,Vigo,8,30.4,26,7,No,54,43,2,8,0,0,450,3031.0,13
Reus,Tarragona,106741,18.7,545,05:21:00,03:54:00,108,01:20:00,01:38:00,Reus,14,4.3,29,3,No,41,57,2,35,0,0,439,2820.0,8
Rivas-Vaciamadrid,Madrid,96690,0.0,19,00:26:00,00:25:00,615,05:49:00,03:37:00,"Adolfo Suárez 
Madrid-Barajas",174,19.8,34,1,No,21,67,8,3,0,0,403,2691.0,9
Rubí,Barcelona,79007,0.0,611,06:02:00,03:48:00,24,00:26:00,01:20:00,"Josep Tarradellas
Barcelona-El Prat",170,28.8,29,2,No,27,66,6,11,0,0,417,2453.0,8
Sabadell,Barcelona,215760,78.8,623,06:11:00,03:15:00,26,00:35:00,00:36:00,"Josep Tarradellas
Barcelona-El Prat",170,38.0,29,2,No,78,21,0,2,0,0,474,2453.0,8
Salamanca,Salamanca,142412,31.5,214,02:16:00,01:40:00,832,08:08:00,11:19:00,Valladolid,6,127.0,30,0,Sí,77,18,3,14,0,0,470,3262.0,7
San Fernando,Cádiz,94120,21.2,649,03:59:00,04:21:00,1111,10:53:00,12:00:00,Jerez,16,45.3,29,8,No,11,76,12,1,0,0,397,3316.0,1
San Sebastián,Gipuzkoa,187849,37.4,457,04:33:00,05:44:00,565,05:40:00,08:35:00,Bilbao,46,99.0,25,6,No,48,45,3,N/D,0,0,437,1906.0,14
Sant Cugat del Vallès,Barcelona,95725,52.0,614,06:08:00,03:42:00,19,00:30:00,01:00:00,"Josep Tarradellas
Barcelona-El Prat",170,25.6,29,3,No,52,44,3,1,0,0,445,2453.0,8
Santa Coloma de Gramenet,Barcelona,117981,2.5,627,06:10:00,03:10:00,9,00:20:00,00:22:00,"Josep Tarradellas
Barcelona-El Prat",170,23.2,29,4,No,75,25,0,N/D,0,0,475,2453.0,8
Santa Cruz de Tenerife,Santa Cruz de Tenerife,208688,3.3,1950,17:00:00,,2425,,,Tenerife Norte-La Laguna,24,12.0,28,15,No,9,72,6,0,2,4,367,3098.0,4
Santander,Cantabria,171693,19.2,455,04:19:00,05:53:00,703,06:50:00,09:45:00,"Seve Ballesteros-
Santander",23,5.6,23,6,No,43,50,4,3,0,0,431,1639.0,5
Santiago de Compostela,A Coruña,98179,0.0,600,05:37:00,03:22:00,1085,11:00:00,13:00:00,Santiago-Rosalía de Castro,33,14.2,25,5,Sí,35,61,3,N/D,0,0,430,2453.0,13
Sevilla,Sevilla,681998,27.6,530,05:02:00,02:42:00,994,09:58:00,11:06:00,Sevilla,70,8.8,36,6,No,43,53,4,0,0,0,439,3526.0,1
Talavera de la Reina,Toledo,83247,12.0,123,01:18:00,01:20:00,741,07:08:00,09:49:00,"Adolfo Suárez 
Madrid-Barajas",174,139.0,35,2,Sí,28,60,7,0,0,0,409,2815.0,6
Tarragona,Tarragona,134883,0.0,552,05:21:00,04:16:00,98,01:14:00,01:15:00,Reus,14,10.9,29,5,Sí,32,62,6,2,0,0,426,2820.0,8
Telde,Las Palmas,102472,0.0,1945,13:00:00,,2563,,,Gran Canaria,127,10.9,26,15,No,18,69,4,N/D,1,2,389,2817.45,4
Terrassa,Barcelona,224114,8.3,620,06:00:00,03:26:00,28,00:37:00,00:47:00,"Josep Tarradellas
Barcelona-El Prat",170,34.8,29,1,No,73,26,1,1,0,0,472,2453.0,8
Toledo,Toledo,85085,36.4,75,00:56:00,01:00:00,686,06:37:00,03:45:00,"Adolfo Suárez 
Madrid-Barajas",174,84.0,34,1,Sí,19,68,9,4,0,0,402,2815.0,6
Torrejón de Ardoz,Madrid,134733,11.7,32,00:34:00,00:29:00,594,05:37:00,03:08:00,"Adolfo Suárez 
Madrid-Barajas",174,12.9,33,1,No,18,68,9,N/D,0,0,397,2691.0,9
Torrente,Valencia,85142,11.7,352,03:48:00,02:17:00,365,03:41:00,03:24:00,València,89,11.6,31,6,No,31,63,5,N/D,0,0,426,2808.0,11
Torrevieja,Alicante,83547,0.0,460,04:25:00,04:53:00,571,05:41:00,10:30:00,"Alacant-Elx 
Miguel Hernández",119,43.9,29,6,No,14,71,12,0,0,0,394,3397.0,11
Valdemoro,Madrid,79100,1.3,30,00:29:00,00:30:00,636,06:00:00,03:22:00,"Adolfo Suárez 
Madrid-Barajas",174,35.3,33,0,No,11,74,11,0,0,0,392,2691.0,9
València,Valencia,792492,20.4,356,03:50:00,02:00:00,348,03:34:00,03:00:00,València,89,10.3,30,6,Sí,17,69,9,7,0,0,398,2808.0,11
Valladolid,Valladolid,295639,36.2,191,02:25:00,01:05:00,724,07:06:00,04:00:00,Valladolid,6,14.3,30,1,No,48,43,5,2,0,0,433,3016.0,7
Vigo,Pontevedra,292374,16.4,591,05:40:00,05:06:00,1144,11:18:00,15:00:00,Vigo,8,13.5,26,7,No,27,66,4,1,0,0,415,3031.0,13
Vitoria-Gasteiz,Álava,253672,49.6,364,03:42:00,03:11:00,527,05:28:00,06:15:00,Vitoria,3,12.0,26,1,No,59,35,3,0,0,0,450,2147.0,14
Zaragoza,Zaragoza,673010,20.0,319,03:24:00,01:27:00,308,03:08:00,01:52:00,Zaragoza,16,13.1,33,3,Sí,36,63,2,4,0,0,438,2602.0,2
