Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,IDComunidadAutonoma
Badajoz provincia,6.4,"+ 0,6 %","+ 3,1 %","+ 9,7 %","6,4 €/m2 jul 2023","0,0 %",12
Badajoz,7.0,"0,0 %","+ 1,5 %","+ 10,2 %","7,0 €/m2 mayo 2023","- 0,3 %",12
Cáceres provincia,5.7,"+ 0,4 %","- 1,7 %","+ 2,4 %","5,8 €/m2 abr 2023","- 1,7 %",12
Cáceres,6.1,"- 2,0 %","- 4,3 %","- 0,1 %","6,4 €/m2 abr 2023","- 4,3 %",12
Galicia,8.1,"+ 0,7 %","+ 3,9 %","+ 8,2 %","9,6 €/m2 mayo 2007","- 15,4 %",12
A Coruña provincia,7.9,"+ 1,0 %","+ 2,5 %","+ 8,3 %","7,9 €/m2 jul 2023","0,0 %",13
A Coruña,9.0,"+ 1,1 %","- 0,2 %","+ 7,9 %","9,1 €/m2 mar 2023","- 0,8 %",13
Lugo provincia,6.1,"+ 3,9 %","+ 2,2 %","+ 4,1 %","6,1 €/m2 jul 2023","0,0 %",13
Lugo,6.3,"+ 2,1 %","- 1,0 %","+ 1,8 %","6,4 €/m2 abr 2023","- 1,0 %",13
Ourense provincia,6.2,"+ 0,6 %","+ 0,8 %","+ 6,7 %","6,3 €/m2 feb 2023","- 1,0 %",13
Ourense,6.4,"+ 0,4 %","- 0,9 %","+ 6,8 %","6,6 €/m2 feb 2023","- 2,8 %",13
Pontevedra provincia,9.6,"+ 0,7 %","+ 7,9 %","+ 9,0 %","10,2 €/m2 abr 2008","- 5,7 %",13
Pontevedra,7.4,"- 0,5 %","+ 2,7 %","+ 2,1 %","7,5 €/m2 ene 2023","- 1,5 %",13
La Rioja,7.5,"+ 0,7 %","+ 3,7 %","+ 2,0 %","7,5 €/m2 jul 2023","0,0 %",17
La Rioja,7.5,"+ 0,7 %","+ 3,7 %","+ 2,0 %","7,5 €/m2 jul 2023","0,0 %",17
Logroño,7.8,"- 0,3 %","+ 1,9 %","+ 4,9 %","7,9 €/m2 jun 2023","- 0,3 %",17
Madrid Comunidad,15.6,"+ 1,5 %","+ 4,2 %","+ 9,0 %","15,6 €/m2 jul 2023","0,0 %",9
Madrid provincia,15.6,"+ 1,5 %","+ 4,2 %","+ 9,0 %","15,6 €/m2 jul 2023","0,0 %",9
Madrid,17.1,"+ 1,6 %","+ 4,1 %","+ 10,1 %","17,1 €/m2 jul 2023","0,0 %",9
Melilla,9.3,"- 1,5 %","- 6,4 %","+ 0,9 %","9,9 €/m2 abr 2023","- 6,4 %",19
Melilla provincia,9.3,"- 1,5 %","- 6,4 %","+ 0,9 %","9,9 €/m2 abr 2023","- 6,4 %",19
Melilla,9.3,"- 1,5 %","- 6,4 %","+ 0,9 %","9,9 €/m2 abr 2023","- 6,4 %",19
Murcia Región,8.0,"+ 2,5 %","+ 10,9 %","+ 6,0 %","8,0 €/m2 jul 2023","0,0 %",16
Murcia provincia,8.0,"+ 2,5 %","+ 10,9 %","+ 6,0 %","8,0 €/m2 jul 2023","0,0 %",16
Murcia,8.1,"+ 0,9 %","+ 5,5 %","+ 5,4 %","8,1 €/m2 jul 2023","0,0 %",16
Navarra,9.7,"+ 0,1 %","+ 1,8 %","+ 3,9 %","9,7 €/m2 jul 2023","0,0 %",10
Navarra,9.7,"+ 0,1 %","+ 1,8 %","+ 3,9 %","9,7 €/m2 jul 2023","0,0 %",10
Pamplona/Iruña,10.3,"- 0,7 %","+ 1,1 %","+ 4,2 %","10,4 €/m2 jun 2023","- 0,7 %",10
